# ukhaan — Nepali proverbs (उखान टुक्का).
#
# Tab-separated, three columns: devanagari<TAB>roman<TAB>meaning.
#
# TSV rather than .nix because two languages read this file: the `ukhaan` CLI
# (modules/home-manager/tools/ukhaan.nix) embeds it for awk, and the Neovim
# dashboard (nvim/plugin/dashboard.lua) reads it directly at first paint. A
# .nix list would need a second, generated Lua copy; splitting on a tab needs
# neither. Lines beginning with '#' are comments.
#
# Source: github.com/chapainaashish/nepali-ukhaan (MIT, (c) 2023 Aashish
# Chapain), parsed from that repo's README table. Corrections belong upstream
# as well as here.
#
# The roman column is what terminal surfaces show, per the script rule in
# docs/THEME.md; the devanagari column is for waybar/notifications.
बाँदर को पुच्छर, लौरो न हतियार	Badar ko puchchhar lauro na hatiyaar	Being useless
बाँदरको हातमा नरिवल	Badar ko haat maa nariwal	For a fragile thing or responsibility falling in the hands of irresponsible people
बाध दुब्लाएर बिरालो हुदैन	Baag dublaayera biralo hudaina	True nature or essence of something, does not change merely
बार्‍ह छोरा तेर्‍ह नाति, बूढाको मन तरुनी माथि	Bahra chhoraa tehra naati, buda ko man taruni mathi	Guys gonna always lust after other women
बिद्या नै धन हो	Bidhya nai dhan ho	Education is Wealth
बिहे गर्ने अलमल मा केटी खोजै बिर्सियो	Bihe garne almal ma kt khojnai birsiyo	Mukhya kam nai birsinu
बैगुनीलाई गुनले मार्नु	Baiguni lai gun le maarnu	Kill the ungrateful with gratitude
बोल्नेको पिठो बिक्छ, नबोल्नेको चामल पनि बिक्दैन	Bolne ko pitho bikchha, nabolne ko chaamal pani bikdaina	person who talks and socialize gains the upperhand
भाग्यमानीको भूतै कमारो	Bhagyamaani ko bhutai kamaaro	Someone else does the work for a lucky person
भुक्ने कुकुरले टोक्दैन	Bhukne kukur le tokdaina	Barking dog seldom bites
भोको पेटले सोच्न सक्दैन	Bhoki pet le sochna sakdaina	When hungry people can't think straight
भोजन हैन भोक मिठो	Bhojan haina bhok mitho	Hunger doesn't judge the taste of food
मन परेको फुल सुके पनी रसिलो	Man pareko ful suke pani rasilo	If you like it enough, even the flaws are attractive
माग्ने लाई छान्ने अधिकार हुँदैन	Maagne lai chhanne adhikaar hudaina	Beggers are not choosers
माझीको घर माछा उपहार	Majhi ko ghar machha upahar	Gifting something one already has plenty of
मान्छेमा ईख, सर्पमा बिष नभए कोही डराउदैन	Maanche maa ikh, sarpa maa bish nabhaye kohi daraudaina	Beware of a man's pride like you would a snake's poison
मामा को घोडामा भान्जा को हे हे	Mama ko ghoda maa bhanjaa ko he he	One enjoys in others property
माहाभारत सकियो तर सीता कोस्को आमा?	Mahabharat sakiyo tara Sita kosko aama?	Even after an epic issue is resolved, people still obsess over minor or irrelevant details
मुख मा राम राम बगली मा छुरा	Mukh maa ram ram bavali maa chhuraa	Two-faced people/ The ones who say good things in front of you and back-bite later
मूर्खको धन रहँदैन	Marukha ko dhan rahadaina	A foolish person tends to spend money too quickly
मेरो गोरूको बार्‍है टक्‍का	Mero goru ko bahrai takkaa	Being overly stubborn
मेहनतको फल मिठो हुन्छ	Mehenat ko fal mitho hunchha	Fruits of labor are always sweet
मौका मा चौका हान्न जान्नु पर्छ	Maukaa maa chaukaa hanna jannu parchha	Seize the opportunity
मुर्ख तीन पटक हास्छ	Murkha teen patak haaschha	A foolish laughs three times
राजाको अँगाडि र घोडाको पछाडि नलाग्नु, लात खाइन्छ	Raajaa ko agaadi ra ghodaa ko pachaadi nalaagnu, laat khaayinchha	Know who are prideful and who are incompetent when deciding who to follow
रात भरि करायो, दक्षिणा हरायो	Raat bhari karaayo, dakshina harayo	Getting much less than expected / You cant always get what you expect
लगनको बेला हगन	Lagan ko bela hagan	Engaging in inappropriate or disrespectful behavior during moments of significance
लिखितमको अघाडी बखतम चल्दैन	Likhitam ko agaadi bakhatam chhaldaina	Written proof is more powerful than oral proof
लुट को धन फुफु को श्राध	Loot ko dhan fupu ko shraadh	Easy come easy go
लोग्ने स्वास्नीको झगडा परालको आगो	Logne swasni ko jhagada paraal ko aago	Husband & wife's quarrel subsides in a short time
संगत गुना को फल	Sangat guna ko fal	Positive actions and virtuous behavior lead to favorable outcomes
साउँको भन्दा ब्याजको माया	Saunko bhanda byaaj ko maya	One giving importance to something of lower value
साउनको भेललाई बेलामा रोक्न सके बाली राम्रो हुन्छ	Saaun ko bhel lai belaa maa rokna sake baali ramro hunchha	It's better to stop a event that we don't want to go forward in its early stages
सार्कीको सरापले डिँगो मर्दैन	Saarki ko saraap le dingo mardaina	Hate from someone of lower power status is no concern of one in higher status
सियो हराएको दमाइँ जस्तो	Siyo haraayeko damai jasto	Acting like you have lost all your identity
सुख पाए ससुराली जानू, दु:ख पाए मीतकहाँ जानू	Sukhan paaye sasurali jaanu, dukha paaye mit kahaa jaanu	In-laws only care for you when you have everything but only your true friend stays by you when you are in your lowest
सुगुरलाई स्वर्ग जान्छस् भन्दा त्यहाँ गु खान पाईन्छ भनी उल्टो सोध्छ	Sungur lai swarga jaanchhas bhandaa tyaha gu khaana paayinchha bhanera ulto sodhchha	Someone not recognizing the value of thing he/she is being offered
सुनलाई खोल लाउनु पर्दैन	Sun lai khol launu pardaina	Something of greater value doesn't need to be looked after
सूर्यको अगाडि बत्ती	Surya ko agadi batti	Doing something of little to no importance in grand scheme of things
स्याल कराउनु कुखरा हराउनु	Syaal karaunu kukhura haraunu	Someone being rightfully afraid of past trauma or thing they dealt with in the past
स्वास्नीको आगाडी किम जोङ्ग पनी बिरालो	Swasni ko agaadi Kim Jong pani biraalo	Even men in power are afraid of their wives
स्वास्नीमान्छेको थर छैन लोग्ने मान्छेको घर छैन	Swasni maanchhe ko thar chhaina, logne maanchhe ko ghar chhaina	Not having something of importance to one's identity by him/herself anymore
हँसियाको बिहेमा खुर्पाको गीत	Hasiyaa ko bihe maa khurpaa ko geet	Being happy for someone's sucess than that person themselves
हग्नन गयो कन्डो बिर्सेयो	Hagna gayo kando birseyo	Forgetting the major/important thing you need for some work or an activity
हग्नेलाई भन्दा देख्‍नेलाई लाज	Hagne lai bhandaa dekhne lai laaj	Feeling second hand embarrassment of one's action
हग्ने बेलामा चक खोज्नु	hagne bela ma chak khojnu	antim samaya ma kehi garnu
हडबड को काम गड्बड हुन्छ	Hadbad ko kaam gadbad hunchha	The work done in hurry is often wrong
हरेस खाए नि चरेस नखानु	Hares khaaye ni charesh nakhaanu	It's okay to idulge in bad habits but never give up on your life or the thing you are pursing
हर्‍रो नपाउनेले जाईफल को धाक	Harro napaune le jaifal ko dhaak	One who doesn't even posses a small thing of value, faunting even a bigger thing of much greater value
हलेदो भन्ने थाहा पाएपछि कोट्याउनु पर्दैन	Hadelo bhanne thaahaa paaye pachhi kotyaunu pardaina	If you know the person, you won't need the details
हल्लिएको दाँत एकदिन फुक्लन्छ	Halliyeko daat ek din fuklanchha	There eventually is bound be consequences of ones actions
हातमा पुस्तक मनमा दश थोक	Haat maa pustak, man maa das thok	Overthinking too much, when you need to do the real work
हाती को दुइटा दात हुन्छ, एउटा खाने अर्को देखाउने	Haatti ko dui woata daant hunchha, euta khaane, arko dekhaaune	Cruelty under politeness
हात्ती आयो हात्ती आयो फुस्सा	Hatti aayo hatti aayo fussaa	Not getting anything as expected or promised
हात्ती छिर्‍यो पुच्छर अड्क्यो	Haatti chhiryo, puchhar adkyo	Big problems are resolved but the small one is holding it
हात्तीको मुखमा जीरा	Hatti ko mukh maa jira	A drop in the ocean
हावा नचली पात हल्लिंदैन	Hawa nachali paat hallidaina	Bigger event affecting the outcome of smaller event
हिराको मोल किराले जान्दैन	Hira ko mol kira le jandaina	Insects don't know the value of diamond
हुने बिरुवाको चिल्लो पात	Hune beruwa ko chillo paat	The prodigies display talent from an early age
हुने हार, दैव नटार	Hune haar daiba nataar	No one can escape their destiny
हेर्दाको राम्रो, दिन खानको चाम्रो	Herda ko ramro dina khaana ko chamro	Action not backing up the things you are saying
हेर्नेको र छेर्नेको भर हुँदैन	Herne ko ra chherne ko bhar hudaina	Don't trust fortune tellers just like you can't trust people with diarrhea (alternately don't trust watchers or cowards)
